Name,When,Generator,Validator,Notes
SITE,Test,,"IN(""APPL"",""FXLH"",""FXCD"",""BYLG"",""Unset"")",
otp_program_words_flag,Test,,"IN(""OTP_NEED_PROGRAM_CUSTOMER_WORDS"",""OTP_Already_PROGRAMMED"",""OTP_DONTNEED_PROGRAM"",""FAIL"",""Unset"")",
otp_customer_Data_size,Test,,"IN(""PASS_0"",""FAIL_Size_Not_0"",""Unset"")",
otp_program_keydata_Size,Test,,"IN(""OTP_Key_SIZE_0"",""OTP_Key_SIZE_NOT_0"",""Unset"")",
otp_key_Data_flag,Test,,"IN(""TRUE"",""FALSE"",""Unset"")",
otp_key_Data_value,Test,,"IN(""TRUE"",""FALSE"",""Unset"")",
production_mode,Test,,"IN(""1"",""0"",""Unset"")",
otp_check_crc_flag,Test,,"IN(""Verify_Ace2_operating_state"",""Verify_False"",""Unset"")",
CFG_type,Test,,"IN(""ACE_VERSION_1"",""ACE_VERSION_2"",""ACE_VERSION_3"",""ACE_VERSION_4"",""Unset"")",
Project,Test,,"IN(""J410"",""J507"",""J537"",""J481"",""J817"",""J820"",""Unset"")",
SafetyCheck0V8,Test,,"IN(""PASS"",""FAIL"")",
SafetyCheck1V2,Test,,"IN(""PASS"",""FAIL"")",
SafetyCheck4V2,Test,,"IN(""PASS"",""FAIL"")",
testfail,Test,,"IN(""TRUE"",""FALSE"")",
Poison,Test,,"IN(""TRUE"",""FALSE"")",
user,Test,,"IN(""MFG"",""DQE"",""UnSet"")",
mlb_type,Test,,"IN(""MLB_A"",""MLB_B"",""Unset"")",
SoC_CSEC,Test,,"IN(""0"",""1"")",
I2C_Tag_1,Test,,"IN(""23"",""Unset"")",
I2C_Tag_2,Test,,"IN(""01"",""Unset"")",
Wallet_Tag_1,Test,,"IN(""01"",""Unset"")",
ACE3_Responsive_Status_1,Test,,"IN(""TRUE"",""FALSE"",""Unset"")",
ACE3_Responsive_Status_2,Test,,"IN(""TRUE"",""FALSE"",""Unset"")",
ACE3_Responsive_Status_3,Test,,"IN(""TRUE"",""FALSE"",""Unset"")",
PRODUCTION_SOC,Test,,"IN(""0"",""1"",""Unset"")",
accel_selftest_result,Test,,"IN(""TRUE"",""FALSE"",""Unset"")",
otp_program_flag,Test,,"IN(""OTP_Need_Check_Key_Data_Size"",""OTP_DONTNEED_PROGRAM"",""OTP_Need_Check_Key_Data_Size_prod_fuse"",""Unset"")",
HAS_TWO_STORAGE_DEVICE,Test,,"IN(""number of storage devices 2"",""FALSE"",""Unset"")",
MEMORY_SIZE,Test,,"IN(""16GB"",""12GB"",""Unset"")",